id_Comercio,control_Comercio,Produto,Categoria,Subcategoria,id_Producao,control_Producao,produto
59.0,ou_Vinho_composto,  Vinho composto,Outros Produtos Comercializados,Vinho composto,,,
62.0,ou_Vinho_gaseificado,  Vinho gaseificado,Outros Produtos Comercializados,Vinho gaseificado,,,
61.0,ou_Vinho_leve,  Vinho leve,Outros Produtos Comercializados,Vinho leve,,,
60.0,ou_Vinho_licoroso,  Vinho licoroso,Outros Produtos Comercializados,Vinho licoroso,,,
,,,Suco,Suco de uva adoçado,12.0,su_Suco de uva adoçado,Suco de uva adoçado
,,,Suco,Suco de uva concentrado,11.0,su_Suco concentrado,Suco de uva concentrado
,,,Suco,Suco de uva integral,10.0,su_Suco de uva simples,Suco de uva integral
,,,Suco,Suco de uva orgânico,13.0,su_Suco de uva orgânico,Suco de uva orgânico
,,,Suco,Suco de uva reconstituído,14.0,su_Suco de uva reconstituído,Suco de uva reconstituído
24.0,su_Outros_sucos,  Outros sucos de uvas,Suco De Uvas,Outros sucos de uvas,,,
21.0,su_Suco_Adoçado,  Suco Adoçado,Suco De Uvas,Suco Adoçado,,,
20.0,su_Suco_Natural,  Suco Natural Integral,Suco De Uvas,Suco Natural Integral,,,
23.0,su_Suco_Orgânico,  Suco Orgânico,Suco De Uvas,Suco Orgânico,,,
22.0,su_Suco_Reprocessado,  Suco Reprocessado/reconstituido,Suco De Uvas,Suco Reprocessado/reconstituido,,,
8.0,vm_Branco,  Branco,Vinho  Fino De Mesa,Branco,,,
7.0,vm_Rosado,  Rosado,Vinho  Fino De Mesa,Rosado,,,
6.0,vm_Tinto,  Tinto,Vinho  Fino De Mesa,Tinto,,,
4.0,vm_Branco,  Branco,Vinho De Mesa,Branco,3.0,vm_Branco,Branco
3.0,vm_Rosado,  Rosado,Vinho De Mesa,Rosado,4.0,vm_Rosado,Rosado
2.0,vm_Tinto,  Tinto,Vinho De Mesa,Tinto,2.0,vm_Tinto,Tinto
14.0,ve_Branco,  Branco,Vinho Especial,Branco,,,
13.0,ve_Rosado,  Rosado,Vinho Especial,Rosado,,,
12.0,ve_Tinto,  Tinto,Vinho Especial,Tinto,,,
,,,Vinho Fino De Mesa (Vinifera),Branco,7.0,vv_Branco,Branco
,,,Vinho Fino De Mesa (Vinifera),Rosado,8.0,vv_Rosado,Rosado
,,,Vinho Fino De Mesa (Vinifera),Tinto,6.0,vv_Tinto,Tinto
