CATEGORIA,SUBCATEGORIA,Ano,Producao,Comercio
DERIVADOS,Mistelas,2011,0,0
DERIVADOS,Néctar de uva,2011,0,0
DERIVADOS,Licorosos,2011,0,0
DERIVADOS,Compostos,2011,0,0
DERIVADOS,Jeropiga,2011,0,0
DERIVADOS,Filtrado,2011,0,0
DERIVADOS,Frisante,2011,1003800,0
DERIVADOS,Vinho leve,2011,0,0
DERIVADOS,Vinho licoroso,2011,0,0
DERIVADOS,Brandy,2011,0,0
DERIVADOS,Destilado,2011,0,0
DERIVADOS,Bagaceira,2011,0,0
DERIVADOS,Licor de bagaceira,2011,0,0
DERIVADOS,Vinagre,2011,0,0
DERIVADOS,Borra líquida,2011,0,0
DERIVADOS,Borra seca,2011,0,0
DERIVADOS,Vinho Composto,2011,0,0
DERIVADOS,Pisco,2011,0,0
DERIVADOS,Vinho orgânico,2011,5600,0
DERIVADOS,Espumante orgânico,2011,0,0
DERIVADOS,Destilado alcoólico simples de bagaceira,2011,0,0
DERIVADOS,Vinho acidificado,2011,0,0
DERIVADOS,Mosto parcialmente fermentado,2011,0,0
DERIVADOS,Outros derivados,2011,0,0
VINHO DE MESA,VINHO DE MESA,2012,212777037,206969571
VINHO DE MESA,Tinto,2012,175875432,173964776
VINHO DE MESA,Branco,2012,34938249,31266661
VINHO DE MESA,Rosado,2012,1963356,1738134
VINHO  FINO DE MESA,VINHO FINO DE MESA (VINIFERA),2012,45200730,0
VINHO FINO DE MESA,Tinto,2012,24027589,0
VINHO FINO DE MESA,Branco,2012,20647238,0
VINHO FINO DE MESA,Rosado,2012,525903,0
SUCO,SUCO,2012,70066732,0
SUCO,Suco de uva integral,2012,31908829,0
SUCO,Suco de uva concentrado,2012,37624855,0
SUCO,Suco de uva adoçado,2012,533048,0
SUCO,Suco de uva orgânico,2012,0,0
SUCO,Suco de uva reconstituído,2012,0,0
DERIVADOS,DERIVADOS,2012,100757101,0
DERIVADOS,Espumante,2012,17200,0
DERIVADOS,Espumante moscatel,2012,139775,0
DERIVADOS,Base espumante,2012,0,0
DERIVADOS,Base espumante moscatel,2012,2798908,0
DERIVADOS,Base Champenoise champanha,2012,369278,0
DERIVADOS,Base Charmat champanha,2012,479625,0
DERIVADOS,Bebida de uva,2012,0,0
DERIVADOS,Polpa de uva,2012,2797665,0
DERIVADOS,Mosto simples,2012,93341575,0
DERIVADOS,Mosto concentrado,2012,0,0
DERIVADOS,Mosto de uva com bagaço,2012,0,0
DERIVADOS,Mosto dessulfitado,2012,0,0
DERIVADOS,Mistelas,2012,200,0
DERIVADOS,Néctar de uva,2012,0,0
DERIVADOS,Licorosos,2012,26775,0
DERIVADOS,Compostos,2012,7600,0
DERIVADOS,Jeropiga,2012,0,0
DERIVADOS,Filtrado,2012,0,0
DERIVADOS,Frisante,2012,778500,0
DERIVADOS,Vinho leve,2012,0,0
DERIVADOS,Vinho licoroso,2012,0,0
DERIVADOS,Brandy,2012,0,0
DERIVADOS,Destilado,2012,0,0
DERIVADOS,Bagaceira,2012,0,0
DERIVADOS,Licor de bagaceira,2012,0,0
DERIVADOS,Vinagre,2012,0,0
DERIVADOS,Borra líquida,2012,0,0
DERIVADOS,Borra seca,2012,0,0
DERIVADOS,Vinho Composto,2012,0,0
DERIVADOS,Pisco,2012,0,0
DERIVADOS,Vinho orgânico,2012,0,0
DERIVADOS,Espumante orgânico,2012,0,0
DERIVADOS,Destilado alcoólico simples de bagaceira,2012,0,0
DERIVADOS,Vinho acidificado,2012,0,0
DERIVADOS,Mosto parcialmente fermentado,2012,0,0
DERIVADOS,Outros derivados,2012,0,0
VINHO DE MESA,VINHO DE MESA,2013,196904222,221590810
VINHO DE MESA,Tinto,2013,163111797,188033494
VINHO DE MESA,Branco,2013,32066403,31779668
VINHO DE MESA,Rosado,2013,1726022,1777648
VINHO  FINO DE MESA,VINHO FINO DE MESA (VINIFERA),2013,45782530,0
VINHO FINO DE MESA,Tinto,2013,23156458,0
VINHO FINO DE MESA,Branco,2013,21906349,0
VINHO FINO DE MESA,Rosado,2013,719723,0
SUCO,SUCO,2013,64879790,0
SUCO,Suco de uva integral,2013,33673396,0
SUCO,Suco de uva concentrado,2013,31206394,0
SUCO,Suco de uva adoçado,2013,0,0
SUCO,Suco de uva orgânico,2013,0,0
SUCO,Suco de uva reconstituído,2013,0,0
DERIVADOS,DERIVADOS,2013,64072127,0
DERIVADOS,Espumante,2013,30275,0
DERIVADOS,Espumante moscatel,2013,159781,0
DERIVADOS,Base espumante,2013,0,0
DERIVADOS,Base espumante moscatel,2013,1470700,0
DERIVADOS,Base Champenoise champanha,2013,359617,0
DERIVADOS,Base Charmat champanha,2013,624728,0
DERIVADOS,Bebida de uva,2013,4260,0
DERIVADOS,Polpa de uva,2013,1742152,0
DERIVADOS,Mosto simples,2013,58517506,0
DERIVADOS,Mosto concentrado,2013,0,0
DERIVADOS,Mosto de uva com bagaço,2013,0,0
DERIVADOS,Mosto dessulfitado,2013,0,0
DERIVADOS,Mistelas,2013,2500,0
DERIVADOS,Néctar de uva,2013,10000,0
DERIVADOS,Licorosos,2013,0,0
DERIVADOS,Compostos,2013,0,0
DERIVADOS,Jeropiga,2013,0,0
DERIVADOS,Filtrado,2013,0,0
DERIVADOS,Frisante,2013,1009000,0
DERIVADOS,Vinho leve,2013,0,0
DERIVADOS,Vinho licoroso,2013,100,0
DERIVADOS,Brandy,2013,0,0
DERIVADOS,Destilado,2013,0,0
DERIVADOS,Bagaceira,2013,0,0
DERIVADOS,Licor de bagaceira,2013,0,0
DERIVADOS,Vinagre,2013,0,0
DERIVADOS,Borra líquida,2013,63111,0
DERIVADOS,Borra seca,2013,78397,0
DERIVADOS,Vinho Composto,2013,0,0
DERIVADOS,Pisco,2013,0,0
DERIVADOS,Vinho orgânico,2013,0,0
DERIVADOS,Espumante orgânico,2013,0,0
DERIVADOS,Destilado alcoólico simples de bagaceira,2013,0,0
DERIVADOS,Vinho acidificado,2013,0,0
DERIVADOS,Mosto parcialmente fermentado,2013,0,0
DERIVADOS,Outros derivados,2013,0,0
VINHO DE MESA,VINHO DE MESA,2014,196173123,206404427
VINHO DE MESA,Tinto,2014,157776363,178250072
VINHO DE MESA,Branco,2014,37438069,26734500
VINHO DE MESA,Rosado,2014,958691,1419855
VINHO  FINO DE MESA,VINHO FINO DE MESA (VINIFERA),2014,38464314,0
VINHO FINO DE MESA,Tinto,2014,17208996,0
VINHO FINO DE MESA,Branco,2014,20054804,0
VINHO FINO DE MESA,Rosado,2014,1200514,0
SUCO,SUCO,2014,76723537,0
SUCO,Suco de uva integral,2014,43331223,0
SUCO,Suco de uva concentrado,2014,33392314,0
SUCO,Suco de uva adoçado,2014,0,0
SUCO,Suco de uva orgânico,2014,0,0
SUCO,Suco de uva reconstituído,2014,0,0
DERIVADOS,DERIVADOS,2014,62907281,0
DERIVADOS,Espumante,2014,2700,0
DERIVADOS,Espumante moscatel,2014,100000,0
DERIVADOS,Base espumante,2014,0,0
DERIVADOS,Base espumante moscatel,2014,1808044,0
DERIVADOS,Base Champenoise champanha,2014,234725,0
DERIVADOS,Base Charmat champanha,2014,376968,0
DERIVADOS,Bebida de uva,2014,3860,0
DERIVADOS,Polpa de uva,2014,2484000,0
DERIVADOS,Mosto simples,2014,57582195,0
DERIVADOS,Mosto concentrado,2014,0,0
DERIVADOS,Mosto de uva com bagaço,2014,0,0
DERIVADOS,Mosto dessulfitado,2014,0,0
