id_Comercio,control_Comercio,Produto,Ano,Quantidade_Comercio,Categoria,Subcategoria,id_Producao,control_Producao,produto,Quantidade_Producao
47.0,ou_Mosto_sulfitado,  Mosto sulfitado,2009,0.0,Outros Produtos Comercializados,Mosto sulfitado,,,,0.0
48.0,ou_Nectar,  Nectar de uva,2009,4933019.0,Outros Produtos Comercializados,Nectar de uva,,,,0.0
49.0,ou_Outros_produtos,  Outros produtos,2009,418132.0,Outros Produtos Comercializados,Outros produtos,,,,0.0
27.0,ou_Outros vinhos (sem informdetalhada,  Outros vinhos (sem informação detalhada),2009,0.0,Outros Produtos Comercializados,Outros vinhos (sem informação detalhada),,,,0.0
50.0,ou_Polpa,  Polpa de uva,2009,1339958.0,Outros Produtos Comercializados,Polpa de uva,,,,0.0
51.0,ou_Preparado_líquido,  Preparado líquido para refresco,2009,467005.0,Outros Produtos Comercializados,Preparado líquido para refresco,,,,0.0
52.0,ou_Refrigerante,  Refrigerante +50% suco,2009,0.0,Outros Produtos Comercializados,Refrigerante +50% suco,,,,0.0
53.0,ou_Sangria,  Sangria,2009,192082.0,Outros Produtos Comercializados,Sangria,,,,0.0
54.0,ou_Vinagre_balsamico,  Vinagre balsamico,2009,36937.0,Outros Produtos Comercializados,Vinagre balsamico,,,,0.0
55.0,ou_Vinagre_duplo,  Vinagre duplo,2009,426804.0,Outros Produtos Comercializados,Vinagre duplo,,,,0.0
56.0,ou_Vinagre_simples,  Vinagre simples,2009,2996318.0,Outros Produtos Comercializados,Vinagre simples,,,,0.0
57.0,ou_Vinho_acetificado,  Vinho acetificado,2009,808389.0,Outros Produtos Comercializados,Vinho acetificado,,,,0.0
58.0,ou_Vinho_base,  Vinho base para espumantes,2009,10649.0,Outros Produtos Comercializados,Vinho base para espumantes,,,,0.0
59.0,ou_Vinho_composto,  Vinho composto,2009,542123.0,Outros Produtos Comercializados,Vinho composto,,,,0.0
62.0,ou_Vinho_gaseificado,  Vinho gaseificado,2009,0.0,Outros Produtos Comercializados,Vinho gaseificado,,,,0.0
61.0,ou_Vinho_leve,  Vinho leve,2009,0.0,Outros Produtos Comercializados,Vinho leve,,,,0.0
60.0,ou_Vinho_licoroso,  Vinho licoroso,2009,591313.0,Outros Produtos Comercializados,Vinho licoroso,,,,0.0
,,,2009,0.0,Suco,Suco de uva adoçado,12.0,su_Suco de uva adoçado,Suco de uva adoçado,674638.0
,,,2009,0.0,Suco,Suco de uva concentrado,11.0,su_Suco concentrado,Suco de uva concentrado,23006457.0
,,,2009,0.0,Suco,Suco de uva integral,10.0,su_Suco de uva simples,Suco de uva integral,16034003.0
,,,2009,0.0,Suco,Suco de uva orgânico,13.0,su_Suco de uva orgânico,Suco de uva orgânico,0.0
,,,2009,0.0,Suco,Suco de uva reconstituído,14.0,su_Suco de uva reconstituído,Suco de uva reconstituído,0.0
24.0,su_Outros_sucos,  Outros sucos de uvas,2009,0.0,Suco De Uvas,Outros sucos de uvas,,,,0.0
21.0,su_Suco_Adoçado,  Suco Adoçado,2009,0.0,Suco De Uvas,Suco Adoçado,,,,0.0
20.0,su_Suco_Natural,  Suco Natural Integral,2009,0.0,Suco De Uvas,Suco Natural Integral,,,,0.0
23.0,su_Suco_Orgânico,  Suco Orgânico,2009,0.0,Suco De Uvas,Suco Orgânico,,,,0.0
22.0,su_Suco_Reprocessado,  Suco Reprocessado/reconstituido,2009,0.0,Suco De Uvas,Suco Reprocessado/reconstituido,,,,0.0
8.0,vm_Branco,  Branco,2009,13290140.0,Vinho  Fino De Mesa,Branco,,,,0.0
7.0,vm_Rosado,  Rosado,2009,213835.0,Vinho  Fino De Mesa,Rosado,,,,0.0
