Id,País,2009_Quantidade,2009_Valor,2010_Quantidade,2010_Valor,2011_Quantidade,2011_Valor,2012_Quantidade,2012_Valor,2013_Quantidade,2013_Valor,2014_Quantidade,2014_Valor,2015_Quantidade,2015_Valor,2016_Quantidade,2016_Valor,2017_Quantidade,2017_Valor,2018_Quantidade,2018_Valor,2019_Quantidade,2019_Valor,2020_Quantidade,2020_Valor,2021_Quantidade,2021_Valor,2022_Quantidade,2022_Valor,2023_Quantidade,2023_Valor,Categoria
26,Cingapura,976.0,2784.0,247.0,738.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,47214.0,135547.0,28418.0,126428.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Espumante
27,Colombia,0.0,0.0,0.0,0.0,90.0,1068.0,0.0,0.0,22.0,196.0,0.0,0.0,0.0,0.0,617.0,1532.0,595.0,2600.0,2309.0,8637.0,804.0,2185.0,24578.0,74854.0,10280.0,37207.0,15396.0,56227.0,1926,6898,Espumante
28,"Coreia do Sul, Republica da",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4950.0,22797.0,0.0,0.0,212.0,1180.0,442.0,1470.0,3.0,15.0,32.0,115.0,24.0,53.0,82.0,200.0,10.0,30.0,74,222,Espumante
29,Costa Rica,0.0,0.0,12.0,30.0,0.0,0.0,34.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Espumante
30,Cuba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Espumante
31,Curaçao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,991.0,5808.0,801.0,2256.0,3373.0,13676.0,2186.0,8451.0,5525.0,21633.0,3487.0,15494.0,1288,6539,Espumante
32,Dinamarca,0.0,0.0,0.0,0.0,864.0,4130.0,1296.0,5921.0,3164.0,16628.0,1296.0,6917.0,726.0,4376.0,68.0,538.0,0.0,0.0,662.0,3530.0,96.0,230.0,452.0,1798.0,7.0,32.0,0.0,0.0,2790,26359,Espumante
33,Dominica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,505.0,594.0,1461.0,0,0,Espumante
34,El Salvador,0.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Espumante
35,Emirados Arabes Unidos,0.0,0.0,198.0,804.0,190.0,590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,164.0,9.0,36.0,90.0,3240.0,0.0,0.0,126,622,Espumante
36,Equador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,135.0,500.0,540,2000,Espumante
37,Espanha,0.0,0.0,0.0,0.0,720.0,5057.0,0.0,0.0,3375.0,22468.0,0.0,0.0,0.0,0.0,0.0,0.0,5013.0,64735.0,2271.0,9453.0,2.0,3.0,29.0,230.0,0.0,0.0,0.0,0.0,45,853,Espumante
